product_id,plu,pos_description,short_name_draft,chars,brand,positions,facings
100144,95502397,BENSON & HEDGES,Benson & Hedges,15,Benson & Hedges,F14-15,2
105159,9555277316275,BOND STREET BLUE 20S,Bond Light,10,Bond Street,F17,1
105158,9555277316251,BOND STREET RED 20S,Bond Red,8,Bond Street,F16,1
100642,88823393,CHESTERFIELD BLUE 20S,Chesterfield Blue,17,Chesterfield,D19-20,2
103361,9555277315254,CHESTERFIELD CHARCOAL FILTER 20S,Chesterfield Charcoal,21,Chesterfield,E16,1
100638,95510354,CHESTERFIELD MENTHOL 20S,Chesterfield Menthol,20,Chesterfield,E17-18,2
103526,9555277315094,CHESTERFIELD PURPLE 20S,Chesterfield Purple,19,Chesterfield,E19-20,2
100640,88823386,CHESTERFIELD RED 20S,Chesterfield Red,16,Chesterfield,D16-18,3
104923,9556109109386,DUNHILL BLUE,Dunhill Blue,12,Dunhill,A6-8 | B6-8 | C6-8,9
105169,9556109109416,DUNHILL BOOST,Dunhill Boost,13,Dunhill,B11-12,2
103732,9556109106958,DUNHILL CLASSIC,Dunhill Classic,15,Dunhill,A1-5 | B1-5,10
104924,9556109109393,DUNHILL MENTHOL,Dunhill Menthol,15,Dunhill,A9-10 | B9-10 | C9-10,6
105170,9556109109423,DUNHILL MIX,Dunhill Mix,11,Dunhill,C11-15,5
104922,9556109109171,DUNHILL RED,Dunhill Red,11,Dunhill,C1-5,5
105168,9556109109409,DUNHILL SWITCH,Dunhill Switch,14,Dunhill,A11-15,5
105171,9556109109430,DUNHILL ZEST,Dunhill Zest,12,Dunhill,B13-15,3
104726,9556109109355,KYO ORIGINAL BLUE,Kyo Original,12,Kyo,F10-11,2
104727,9556109109362,KYO SILVER,Kyo Silver,10,Kyo,F12-13,2
107628,9555900301227,LD 100 RED,LD 100 Red,10,LD,C22 | C24,2
100758,8885004830028,LD BLUE 20S,LD Blue,7,LD,D21-25,5
100760,8885004830042,LD MENTHOL 20S,LD Menthol,10,LD,A27 | B27,2
104330,9555900300565,LD PURPLE 20S,LD Purple,9,LD,C27 | D27,2
100756,8885004830004,LD RED 20S,LD Red,6,LD,C21 | C23 | C25,3
100762,9555900300121,LD ZOOM 20S,LD Zoom,7,LD,C26 | D26,2
100626,95508788,MARLBORO BLACK MENTHOL 20S,Marlboro Black,14,Marlboro,B18 | C16,2
100630,45163012,MARLBORO DOUBLE BURST 20S,Marlboro Double Burst,21,Marlboro,C17-18,2
100628,76239878,MARLBORO GOLD 20S,Marlboro Gold,13,Marlboro,A19-21,3
100624,95509839,MARLBORO ICE BLAST 20S,Marlboro Ice,12,Marlboro,B19-21,3
100632,76239427,MARLBORO MENTHOL 20S,Marlboro Menthol,16,Marlboro,B16-17,2
100634,76164217,MARLBORO RED 20S,Marlboro Red,12,Marlboro,A16-18,3
106880,7622100700364,MARLBORO SUMMER SPLASH,Marlboro Summer,15,Marlboro,C19,1
106879,7622100698937,MARLBORO TROPICAL SPLASH,Marlboro Tropical,17,Marlboro,C20,1
106489,9555900301326,MEVIUS KIWAMI,Mevius Kiwami,13,Mevius,F24,1
107114,95510569,MEVIUS LBS YELLOW,Mevius Yellow,13,Mevius,E26,1
100726,01232135,MEVIUS MENTHOL 20S,Mevius Menthol,14,Mevius,F25-26,2
100732,4033100054556,MEVIUS MENTHOL DUO 20S,Mevius Duo,10,Mevius,F27,1
100724,01239730,MEVIUS MENTHOL WHITE 20S,Mevius Menthol White,20,Mevius,E27,1
100730,49401196,MEVIUS ORIGINAL BLUE 20S,Mevius Blue,11,Mevius,E21-24,4
100734,490221200804,MEVIUS SKY BLUE 20S,Mevius Sky Blue,15,Mevius,F21-23,3
100736,40329383,MEVIUS WIND BLUE 20S,Mevius Wind Blue,16,Mevius,E25,1
100127,9556109105722,PETER STUYVESANT BLUE,Peter Stuyvesant Blue,21,Peter Stuyvesant,D6-9,4
100128,9556109105715,PETER STUYVESANT RED,Peter Stuyvesant Red,20,Peter Stuyvesant,D1-5,5
100125,9556109106675,PETER STUYVESANT REMIX 20S,Peter Stuyvesant Remix,22,Peter Stuyvesant,D10-15,6
100156,9556109106712,ROTHMANS BLUE,Rothmans Blue,13,Rothmans,E6-7 | F6-7,4
104555,9556109108358,ROTHMANS BOOST,Rothmans Kool Hokkaido Mint,27,Rothmans,E12,1
104385,9556109108006,ROTHMANS CHARCOAL,Rothmans Charcoal,17,Rothmans,E8-9 | F8-9,4
104429,9556109108334,ROTHMANS GREEN,Rothmans Menthol,16,Rothmans,E10-11,2
103630,9556109108310,ROTHMANS PURPLE,Rothmans Purple,15,Rothmans,E13-15,3
100155,9556109106330,ROTHMANS RED,Rothmans Red,12,Rothmans,E1-5 | F1-5,10
100646,89990469,SAMPOERNA A MENTHOL BOX PACK 20'S,Sampoerna Menthol,17,Sampoerna,F19-20,2
100648,89990568,SAMPOERNA A RED BOX PACK 20'S,Sampoerna Red,13,Sampoerna,F18,1
100738,01231932,WINSTON BLUE 20S,Winston Blue,12,Winston,A24-25 | B24-25,4
100750,403310034268,WINSTON DUO BERRY 20S,Winston Duo Berry,17,Winston,A26 | B26,2
100740,01231233,WINSTON RED 20S,Winston Red,11,Winston,A22-23 | B22-23,4
